
Question,4. What are the common symptoms of COVID-19?,,
Reference text,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,,

Serial,Reference text,User Text,Score
1,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,COMMON SYMPTOMS Fever Cough General malaise Loss of taste or smell UN COMMON SYMPTOMS: Sore throat Headache Diarrhea Skin rash Irritated eyes SYMPTOMS - COMPLICATIONS: Difficulty breathing or dyspnea Lethargy Chest pain,0.4671148346031126
2,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,1.0785588585692718
3,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Flu-like symptoms plus loss of taste and smell.,0.1944820726172857
3,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,Also pain in the lung area and shortness of breath,0.1638580576182728
4,Headache General weakness Cough Loss of smell and taste Vomiting Difficulty breathing,"Cough, fever, myalgia, dyspnea, malaise.",0.011884535304507721

Question,19. Have you had any discomfort after vaccination?,,
Reference text,fever and muscle pain,,

Serial,Reference text,User Text,Score
1,fever and muscle pain,"Yes, general malaise for 1 night .",0.0012654420206591281
2,fever and muscle pain,"Yes, in the second vaccination I had a fever and muscle pain.",0.31711504267734936
3,fever and muscle pain,Pain at the injection site,0.19563444136219185
4,fever and muscle pain,Yes.,0.016270403237010893
4,fever and muscle pain,"General malaise, fever, myalgia, headache.",0.13790877646873748

Question,1. How is COVID 19 passed or transmitted to people? ,,
Reference text,It is transmitted by respiratory droplets that contain the virus. ,,

Serial,Reference text,User Text,Score
1,It is transmitted by respiratory droplets that contain the virus.," Direct contact, transmission by air and by droplets.",0.04129683731631299
2,It is transmitted by respiratory droplets that contain the virus., Through indirect or direct contact with secretions infected by the virus.,0.11942746513029208
3,It is transmitted by respiratory droplets that contain the virus.,By air with virus particles present in the environment and less frequently with virus particles on surfaces,-0.04197096478594243
4,It is transmitted by respiratory droplets that contain the virus.,It is transmitted by respiratory droplets that contain the virus.,0.6733490464531088

Question,10. How do masks help to avoid getting sick with COVID 19?,,
Reference text,"They prevent transmission to a certain extent if we have the virus by blocking a good part of the particles that we emit that may contain the virus. If one does not have the virus, it helps to avoid the entry of similar particles to the mouth or nose. ",,

Serial,Reference text,User Text,Score
1,They prevent transmission to a certain extent if we have the virus by blocking a good part of the particles that we emit that may contain the virus.," Avoiding transmission by direct contact, transmission by air and by droplets",-0.11269218516296244
